,fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
33,BAUGE,Development,"Bauge is a field on the Halten bank in the southern Norwegian Sea, 15 kilometres east of the Njord field. The water depth is 280 metres. Bauge was discovered in 2013, and the plan for development and operation (PDO) was approved in 2017. The field is developed with two production wells tied-back to the Njord A facility and a water injection well drilled from the subsea template on the Hyme field. The production started in 2023.",29446221,04.07.2026,17.07.2026
34,BAUGE,Transport,"The well stream is transported to the Njord A platform for processing. Produced oil is transported by pipeline to the storage vessel Njord B, and further by tankers to the market. Gas from the field is exported by pipeline via the Åsgard Transport System (ÅTS) and further to the Kårstø terminal.",29446221,20.02.2026,17.07.2026
35,BERLING,Status,"The field is under development, and the production is planned to start in 2028.",42002473,20.02.2026,17.07.2026
36,BERLING,Development,"Berling is a field on the Halten Terrace in the Norwegian Sea, 20 kilometres west of the Åsgard field. Berling consists of two accumulations, Berling Garn and Berling Breiflabb. The water depth is about 350 metres. Berling was discovered in 2018, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with four slots tied-back to the Åsgard B facility.",42002473,20.02.2026,17.07.2026
37,BERLING,Reservoir,Berling contains gas and condensate. The Berling Garn reservoir is in the Middle Jurassic Garn Formation. It is at a depth of 4100 metres and has high pressure and high temperature (HPHT). The reservoir is structurally complex and has varying reservoir quality. The Berling Breiflabb reservoir is in intra-Lange Formation turbidite sandstone of Late Cretaceous age at a depth of 3900 metres.,42002473,20.02.2026,17.07.2026
38,BERLING,Transport,The well stream will be transported by pipeline to Åsgard B for processing. Condensate will be transferred to Åsgard A and Åsgard C for storage and export by shuttle tankers to the market. The rich gas will be transported via the Åsgard Transport System (ÅTS) for further processing at the Kårstø terminal.,42002473,20.02.2026,17.07.2026
39,BERLING,Recovery strategy,The field will be produced by pressure depletion.,42002473,20.02.2026,17.07.2026
40,BESTLA,Development,"Bestla is a field in the northern North Sea, 13 kilometres south of the Brage field. The water depth is 120 metres. Bestla was discovered in 2016, and the plan for development and operation (PDO) was approved in November 2024. The development concept includes a subsea template with two wells tied-back to the Brage platform.",42002507,20.02.2026,17.07.2026
41,BESTLA,Transport,The well stream will be routed by pipeline to the Brage facility for processing. The oil will be transported further through the Oseberg Transport System (OTS) pipeline to the Sture terminal. The gas will be exported by pipeline to Statpipe and further to the terminal at Kårstø.,42002507,20.02.2026,17.07.2026
42,BESTLA,Status,"The field is under development, and the production is planned to start in 2027.",42002507,20.02.2026,17.07.2026
43,BESTLA,Reservoir,The reservoir contains oil with a gas cap in sandstone of Late Jurassic age in the Sognefjord Formation. It is at a depth of 2150 metres and has varying reservoir properties.,42002507,20.02.2026,17.07.2026
44,BESTLA,Recovery strategy,"The field will be produced by natural aquifer drive combined with the expansion of the gas cap, in addition to gas lift in the wells.",42002507,20.02.2026,17.07.2026
45,BLANE,Development,"Blane is a field in the southern part of the Norwegian sector in the North Sea, 35 kilometres southwest of the Ula field. The field is located on the border to the UK sector and the Norwegian share of the field is 18 per cent. The water depth is 70 metres. Blane was discovered in 1989, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the British continental shelf with two horizontal production wells tied-back to the Ula field. The production started in 2007.",3437650,20.02.2026,17.07.2026
46,BLANE,Transport,The well stream is transported by pipeline to the Ula field for processing. The oil is exported further to Teesside in the UK.,3437650,20.02.2026,17.07.2026
47,BLANE,Recovery strategy,"Until 2019, the field was produced with pressure support from injection of produced water from the Blane, Tambar and Ula fields. The field is now produced by pressure depletion. In addition, gas lift is used in the wells.",3437650,20.02.2026,17.07.2026
48,BLANE,Reservoir,Blane produces oil from Paleocene sandstone in the Forties Formation. The reservoir is at a depth of 3100 metres and has moderate to good quality.,3437650,20.02.2026,17.07.2026
49,BLANE,Status,"Production from the field has generally been good, but the water cut is increasing. The production is restricted by sufficient gas from Ula available for gas lift, by oil-in-water limits and other technical problems.",3437650,20.02.2026,17.07.2026
50,BRAGE,Transport,The oil is transported by pipeline to the Oseberg field and further through the Oseberg Transport System (OTS) pipeline to the Sture terminal. A gas pipeline is tied-back to Statpipe.,43651,20.02.2026,17.07.2026
51,BRAGE,Development,"Brage is a field in the northern part of the North Sea, ten kilometres east of the Oseberg field. The water depth is 140 metres. Brage was discovered in 1980, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an integrated production, drilling and accommodation facility with a steel jacket. The production started in 1993. A PDO for Brage Sognefjord was approved in 1998. PDO exemptions were granted for the Brent Ness and Bowmore Brent accumulations in 2004 and 2007, and for the Talisker East Brent, Cook and Kim Sognefjord accumulations in 2022, 2023 and 2024, respectively.",43651,20.02.2026,17.07.2026
52,BRAGE,Reservoir,"Brage produces oil from sandstone of Early Jurassic age in the Statfjord Group, and sandstone of Middle Jurassic age in the Brent Group and the Fensfjord Formation. Oil and gas are also present in Upper Jurassic sandstone in the Sognefjord Formation, there is a small accumulation in the Cook Formation. The reservoirs are at depths of 2000-2300 metres. The reservoir quality varies from poor to excellent.",43651,20.02.2026,17.07.2026
53,BRAGE,Recovery strategy,The recovery strategy in the Statfjord and Brent Groups and Fensfjord Formation is water injection. The Brent Group had earlier been produced by water alternating gas (WAG) injection. The Sognefjord and Cook Formations are produced by depletion with pressure support from the aquifer.,43651,20.02.2026,17.07.2026
54,BRAGE,Status,"Brage has been producing for a long time, and work is still ongoing to find new ways to increase recovery from the field. New wells are being drilled, often combined with exploration of near field prospects.",43651,20.02.2026,17.07.2026
55,BREIDABLIKK,Status,The production has been higher than anticipated. Drilling of new wells is ongoing.,38702206,20.02.2026,17.07.2026
56,BREIDABLIKK,Recovery strategy,"The field is produced by pressure depletion, assisted by gas lift in the production wells.",38702206,20.02.2026,17.07.2026
57,BREIDABLIKK,Transport,The oil is transported from Grane to the onshore terminal at Sture for storage and export.,38702206,20.02.2026,17.07.2026
58,BREIDABLIKK,Development,"Breidablikk is a field in the central part of the North Sea, ten kilometers northeast of the Grane field. The water depth is 130 metres. Breidablikk includes two discoveries, D-structure and F-structure, discovered in 1992 and 2013, respectively. The plan for development and operation (PDO) was approved in 2021, and the production started in 2023. The field is developed with four subsea templates tied-back to the Grane platform.",38702206,20.02.2026,17.07.2026
59,BREIDABLIKK,Reservoir,"The main reservoirs contain oil in Paleocene sandstone in the Heimdal Formation, at a depth of 1700 metres. The reservoirs have good quality, with little variation in reservoir properties. Above the Heimdal Formation, oil is present in a sand injectite complex in shales of Paleocene and Eocene age in the Lista, Sele and Balder Formations.",38702206,20.02.2026,17.07.2026
60,BRYNHILD,Status,"Brynhild was shut down in 2018, and the subsea template was removed in 2021.",21123063,20.02.2026,17.07.2026
61,BRYNHILD,Development,"Brynhild is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres from the UK sector and 55 kilometres northwest of the Ula field. The water depth is 80 metres. Brynhild was discovered in 1992, and the plan for development and operation (PDO) was approved in 2011. The development concept was a subsea template including four wells, tied-in to the Haewene Brim production, storage and offloading vessel (FPSO) located on the Pierce field in the British sector. The production started in 2014.",21123063,20.02.2026,17.07.2026
62,BRYNHILD,Reservoir,"Brynhild produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir is at a depth of 3300 metres, and the reservoir conditions are close to high pressure, high temperature (HPHT) conditions.",21123063,20.02.2026,17.07.2026
63,BRYNHILD,Recovery strategy,The field was produced by pressure support from water injection. Water for injection was supplied from the Pierce field. ,21123063,20.02.2026,17.07.2026
64,BRYNHILD,Transport,"The well stream was transported by pipeline to the Haewene Brim FPSO for processing. The processed oil was exported by shuttle tankers to the market, and gas was reinjected into the Pierce field. ",21123063,20.02.2026,17.07.2026
65,BYRDING,Development,"Byrding is a field in the northern part of the North Sea, four kilometres north of the Fram H-Nord field and 30 kilometres north of the Troll C facility. The water depth is 360 metres. Byrding was discovered in 2005, and the plan for development and operation (PDO) was approved in 2017. The development concept is a two-branch multilateral (MLT) well drilled from the Fram H-Nord template. The production started in 2017.",28975067,20.02.2026,17.07.2026
66,BYRDING,Recovery strategy,The field is produced by pressure depletion.,28975067,20.02.2026,17.07.2026
67,BYRDING,Reservoir,Byrding produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir is at a depth of 3050 metres. It is structurally complex and has good reservoir quality.,28975067,20.02.2026,17.07.2026
68,BYRDING,Transport,"The well stream is routed through Fram Vest to Troll C for processing. The oil is transported further in the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via Troll A to the Kollsnes terminal.",28975067,20.02.2026,17.07.2026
69,BYRDING,Status,Production has resumed after being shut down since December 2022 due to technical issues in the well.,28975067,20.02.2026,17.07.2026
70,BØYLA,Reservoir,Bøyla produces oil from sandstone of late Paleocene to early Eocene age in the Hermod Formation. The reservoir is of good quality and lies in a channelised submarine fan system at a depth of 2100 metres.,22492497,20.02.2026,17.07.2026
71,BØYLA,Recovery strategy,The field is produced with pressure support from water injection. Gas lift is also necessary to support flow in the wells.,22492497,20.02.2026,17.07.2026
72,BØYLA,Development,"Bøyla is a field in the central part of the North Sea, 28 kilometres south of the Alvheim field. The water depth is 120 metres. Bøyla was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a subsea template including two horizontal production wells and one water injection well. The field is tied-back to the Alvheim production, storage and offloading vessel (FPSO). The production started in 2015. Test production from the nearby discovery 24/9-12 S (Frosk) started in 2019 and provided the basis for a PDO approved in 2022 for including Frosk in the Bøyla field.",22492497,20.02.2026,17.07.2026
73,BØYLA,Status,"The recoverable volume estimates are significantly higher than in the original Bøyla PDO, partly because of the production from Frosk.",22492497,20.02.2026,17.07.2026
74,BØYLA,Transport,"The well stream is transported by pipeline to the Alvheim FPSO, where the oil is stabilised and stored before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.",22492497,20.02.2026,17.07.2026
75,COD,Status,"Cod was shut down in 1998. The facility was removed in 2013, and the production licence area was relinquished in 2022.",43785,20.02.2026,17.07.2026
76,COD,Development,"Cod is a field in the southern part of the Norwegian sector in the North Sea, 75 kilometres northwest of the Ekofisk field. The water depth is 75 metres. Cod was discovered in 1968, and the plan for development and operation (PDO) was approved in 1973. The field was developed with a combined drilling, production and accommodation facility. The production started in 1977.",43785,20.02.2026,17.07.2026
77,COD,Recovery strategy,The field was produced by pressure depletion.,43785,20.02.2026,17.07.2026
78,COD,Reservoir,The Cod field produced gas and condensate from deep-marine turbiditic sandstone of Paleocene age in the Forties Formation. Cod has a complex structure with several separate reservoirs at a depth of 3000 metres.,43785,20.02.2026,17.07.2026
79,COD,Transport,The well stream was sent via pipeline to the Ekofisk Complex for export.,43785,20.02.2026,17.07.2026
80,DRAUGEN,Transport,The oil is offloaded via a floating loading-buoy and exported by tankers. The gas is transported via the Åsgard Transport System (ÅTS) to the Kårstø terminal.,43758,20.02.2026,17.07.2026
81,DRAUGEN,Reservoir,Draugen produces oil from two formations. The main reservoir is in sandstone of Late Jurassic age in the Rogn Formation. The western part of the field also produces from sandstone of Middle Jurassic age in the Garn Formation. The reservoirs are at a depth of 1600 metres. They are relatively homogeneous and have good quality.,43758,20.02.2026,17.07.2026
82,DRAUGEN,Status,"The field lifetime has been prolonged, and the production licence that includes the Draugen field has been extended to 2040. Several initiatives have been launched to enable future profitable production from the Draugen field, such as power from shore, near-field exploration, increased water injection, and new infill wells. ",43758,20.02.2026,17.07.2026
83,DRAUGEN,Development,"Draugen is a field in the southern part of the Norwegian Sea. The water depth is 250 metres. Draugen was discovered in 1984, and the plan for development and production (PDO) was approved in 1988. The field has been developed with a concrete fixed facility and integrated topside, and has both platform and subsea wells. Stabilised oil is stored in tanks at the base of the facility. Two pipelines connect the facility to a floating loading-buoy. The production started in 1993. A PDO exemption for the subsea tie-back of the discovery 6407/9-9 (Hasselmus) was granted in 2021. The production from Hasselmus started in 2023.",43758,20.02.2026,17.07.2026
84,DRAUGEN,Recovery strategy,"The main production mechanism is natural pressure support from the aquifer, with additional water injection from the south.",43758,20.02.2026,17.07.2026
85,DUVA,Transport,"The well stream is routed to the Gjøa platform for processing and export. The oil is transported further through the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via the Far North Liquids and Associated Gas System (FLAGS) pipeline to St Fergus in the UK.",34833026,20.02.2026,17.07.2026
86,DUVA,Recovery strategy,"The field is produced by pressure depletion and gas expansion in the gas cap, followed by gas blowdown.",34833026,20.02.2026,17.07.2026
87,DUVA,Development,"Duva is a field in the northern part of the North Sea, six kilometres northeast of the Gjøa field. The water depth is 350 metres. Duva was discovered in 2016, and the plan for development and operation (PDO) was approved in 2019. Duva is developed with a 4-slot subsea template including three oil production wells and one gas production well tied-back to the Gjøa platform. The production started in 2021.",34833026,20.02.2026,17.07.2026
88,DUVA,Reservoir,The reservoir contains oil and gas in turbiditic sandstone of Early Cretaceous age in the Agat Formation. It is at a depth of 2200 metres and has good quality.,34833026,20.02.2026,17.07.2026
89,DUVA,Status,"The production has been higher than anticipated, due to additional processing capacity available at the Gjøa platform and better performance of the oil production wells. The oil production is on decline, and start of the gas blowdown phase will depend on the performance of the oil producers.",34833026,20.02.2026,17.07.2026
90,DVALIN,Recovery strategy,The field is produced by pressure depletion.,29393934,20.02.2026,17.07.2026
91,DVALIN,Development,"Dvalin is a field in the central part of the Norwegian Sea, 15 kilometres northwest of the Heidrun field. It consists of three separate deposits: Dvalin East, West and North that were proven in 2010, 2012 and 2021, respectively. The water depth is between 340 and 400 metres. The plan for development and production (PDO) of the East and West deposits was approved in 2017. The development concept is a subsea template with four production wells tied-back to the Heidrun platform. The production started in 2020. A PDO for Dvalin North was approved in 2023, and includes a subsea template with three production wells.",29393934,20.02.2026,17.07.2026
92,DVALIN,Status,The production from Dvalin is stable on plateau. Dvalin North is under development and is planned to start production in 2026.,29393934,20.02.2026,17.07.2026
93,DVALIN,Transport,The well stream is transported via pipeline to Heidrun for processing at a dedicated gas processing module. The gas is exported via Polarled to Nyhamna and then via Gassled to the market.,29393934,20.02.2026,17.07.2026
94,DVALIN,Reservoir,"Dvalin contains gas in Middle Jurassic sandstone in the Ile and Garn Formations. The reservoirs are at a depth of 4500 metres and have high pressure and high temperature (HPHT). The homogeneous shallow marine Garn sandstone has good reservoir quality, while the more heterogeneous and fine-grained Ile sandstone has less favourable reservoir properties.",29393934,20.02.2026,17.07.2026
95,EDDA,Reservoir,"Edda produced oil from Maastrichtian and lower Paleocene chalk. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3100 metres.",43541,20.02.2026,17.07.2026
96,EDDA,Status,"Edda was shut down in 1998, and the facility was removed in 2012.",43541,20.02.2026,17.07.2026
97,EDDA,Transport,The well stream was sent via pipeline to the Ekofisk Complex for export.,43541,20.02.2026,17.07.2026
98,EDDA,Recovery strategy,"The field was produced with pressure depletion. Starting in 1988, gas from the Tommeliten Gamma field was transported to Edda and used for gas lift in the wells.",43541,20.02.2026,17.07.2026
99,EDDA,Development,"Edda is a field in the southern part of the Norwegian sector in the North Sea, 12 kilometres southwest of the Ekofisk field. The water depth is 70 metres. Edda was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with a manned wellhead and production facility and started production in 1979.",43541,20.02.2026,17.07.2026
100,EDVARD GRIEG,Reservoir,"Edvard Grieg produces undersaturated oil from alluvial, aeolian and shallow marine sandstone and conglomerate of Late Triassic to Early Cretaceous age. The reservoir is at a depth of 1900 metres. The eservoir quality varies from moderate to very good in marine and aeolian sandstone, while the quality is poorer in alluvial sandstone and conglomerate. Oil is also proven in the underlying basement.",21675433,20.02.2026,17.07.2026
101,EDVARD GRIEG,Transport,"The oil is exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) system in the UK.",21675433,20.02.2026,17.07.2026
102,EDVARD GRIEG,Status,Edvard Grieg production has come off plateau. The field has been producing better than expected and the recoverable volumes have increased significantly since the PDO due to excellent reservoir performance. Several additional wells have been drilled and are planned going forward. Test production from the Troldhaugen discovery started in 2021 and continues.,21675433,20.02.2026,17.07.2026
103,EDVARD GRIEG,Recovery strategy,The field is produced by pressure support from water injection.,21675433,20.02.2026,17.07.2026
104,EDVARD GRIEG,Development,"Edvard Grieg is a field in the Utsira High area in the central North Sea, 35 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Edvard Grieg was discovered in 2007, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a fixed installation with a steel jacket and full process facility, and it utilises a jack-up rig for drilling and completion of wells. The production started in 2015. Since 2022, Edvard Grieg receives power from shore through the area solution for the Utsira High, and is therefore producing with very low CO2 emissions. The Solveig field is tied-back to Edvard Grieg. The Troldhaugen discovery is temporarily tied-back to Edvard Grieg for test production.",21675433,20.02.2026,17.07.2026
105,EIRIN,Transport,The well stream is routed by pipeline to the Gina Krog facility for final processing and further transport.,42002492,06.05.2026,17.07.2026
106,EIRIN,Development,"Eirin is a field in the central North Sea, ten kilometres northwest of the Gina Krog field. The water depth is 120 metres. Eirin was discovered in 1978, and the plan for development and operation (PDO) was approved in January 2024. The development concept includes a subsea template with two wells tied-back to the Gina Krog platform.",42002492,20.02.2026,17.07.2026
107,EIRIN,Status,The production started in May 2026.,42002492,06.05.2026,17.07.2026
108,EIRIN,Reservoir,The reservoirs contain gas in the Skagerrak Formation of Middle to Late Triassic age and in the Hugin Formation of Middle Jurassic age. The reservoirs are at depths of 3880 to 3950 metres and have varying properties.,42002492,20.02.2026,17.07.2026
109,EIRIN,Recovery strategy,The field is produced by pressure depletion.,42002492,06.05.2026,17.07.2026
110,EKOFISK,Transport,"Oil and gas are routed to export pipelines via the processing facility at Ekofisk J. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43506,20.02.2026,17.07.2026
111,EKOFISK,Development,"Ekofisk is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ekofisk was discovered in 1969, and the initial plan for development and operation (PDO) was approved in 1972. Test production was initiated in 1971 and ordinary production started in 1972. The production was initially routed to tankships until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including facilities for associated fields and export pipelines. Several of the initial facilities have already been removed or are awaiting decommissioning. The initial field development started with three production platforms: Ekofisk A, Ekofisk B and Ekofisk C. Wellhead platform Ekofisk X and process platform Ekofisk J were installed in 1996 and 1998, respectively, as part of the Ekofisk II project. In 2005, wellhead platform Ekofisk M was installed as part of the Ekofisk Growth Project. A plan for water injection at Ekofisk was approved in 1983. Ekofisk K, which is the main injection facility, started water injection in 1987 and is still in operation. There had also been water injection at Ekofisk W from 1989 until 2009, when Ekofisk W was shut down and replaced by a subsea template, Ekofisk VA. A PDO for the development of Ekofisk South was approved in 2011. The project included two new installations in the southern part of the field: production platform Ekofisk Z and a subsea template for water injection, Ekofisk VB. Injection from Ekofisk VB and production from Ekofisk Z started in 2013. The accommodation facilities Ekofisk H and Ekofisk Q were replaced by Ekofisk L in 2014. An amended PDO for an additional water injection template, Ekofisk VC, was approved in 2017.",43506,20.02.2026,17.07.2026
